handle,platform,text,persona,received
kate,instagram,Maya I have a first date Friday HELP,RELATIONSHIP,2026-09-20T16:00:00.000Z
ellie.mp,instagram,what shade are u wearing in todays video???,INFO,2026-09-20T15:00:00.000Z
gracelee,instagram,i have dry skin + redness and £60. tell me what to buy pls,RECOMMENDATION,2026-09-20T13:00:00.000Z
cleoss,instagram,i already have the Tint Veil. do i need the Daily Gel too or is that overkill,,2026-09-20T11:34:35.742Z
ameliaxo,tiktok,okay but if u could only keep ONE of these which one,JUDGEMENT,2026-09-20T11:00:00.000Z
lily.beauty,instagram,"oily t-zone, dry everywhere else. there are 500 versions of this. just tell me",,2026-09-20T08:47:35.490Z
sarah,instagram,is the cloud cream actually worth £38 or am i being influenced,VALUE,2026-09-20T08:00:00.000Z
lily.03,tiktok,"FREE SKINCARE BUNDLE 🎁 just cover shipping, link in bio",,2026-09-20T05:37:38.144Z
jessica,instagram,i already have the night serum. do i need the barrier cream too???,CONTEXT,2026-09-20T05:00:00.000Z
kayleighss,instagram,i've screenshotted your whole shelf and i'm working through it,,2026-09-20T02:28:05.672Z
niamh,tiktok,i dont even know what my skin type is lol,DIAGNOSIS,2026-09-20T02:00:00.000Z
olivia,instagram,i trust you more than Sephora tbh,TRUST,2026-09-19T23:00:00.000Z
yazldn,instagram,INVEST £200 GET £2000 BACK IN 48HRS crypto trading dm for details 📈📈,,2026-09-19T21:11:25.616Z
bea.03,instagram,"darker skin, marks stay for months. what's the one thing worth buying if i buy nothing else",,2026-09-19T21:05:14.209Z
joanna,tiktok,can you make me a routine but only 2 products bc i will not do 8 steps,CONSTRAINT,2026-09-19T19:00:00.000Z
cleo.does.makeup,instagram,"london, hard water, if that matters. the Soft Clean is £22 which is a whole week of food for me. talk me through it",,2026-09-19T17:02:46.629Z
dani.87,tiktok,"no time, no money, oily skin. what are the two things",,2026-09-19T15:37:05.027Z
mia,tiktok,I saw the thing you recommended last week. buying it payday,DELAYED INTENT,2026-09-19T14:00:00.000Z
lucy,instagram,not a beauty question but what would you do if it was your money?,TRANSFER OF TRUST,2026-09-19T10:00:00.000Z
mo.skin,tiktok,what's the one thing worth buying if i buy nothing else,,2026-09-19T09:25:31.673Z
lilyldn,instagram,"darker skin, marks stay for months. ok but what's actually on your shelf right now, not the sponsored stuff",,2026-09-19T07:21:23.699Z
roisin,tiktok,can you send me the one you would buy if you were me,PERSONALISATION,2026-09-19T06:00:00.000Z
dani.87,instagram,i trust you but i am not spending £80 on a serum. what else is there,,2026-09-19T05:57:02.194Z
priya92,instagram,two things max. i have a toddler and no time been following since the £50 video.,,2026-09-19T03:36:56.339Z
cleo92,tiktok,"oily t-zone, dry everywhere else. i've got sensitive skin and i'm scared of serums. is there one that won't set me off",,2026-09-19T02:43:23.843Z
moss,instagram,INVEST £200 GET £2000 BACK IN 48HRS crypto trading dm for details 📈📈,,2026-09-18T23:16:53.633Z
ola92,instagram,"can you make me a routine but only 2 products, i will not do 8 steps sorry this is long.",,2026-09-18T23:03:20.989Z
jen.and.co,tiktok,what's the minimum i can get away with and still look like i tried,,2026-09-18T21:52:15.684Z
bella.87,tiktok,"darker skin, marks stay for months. i've read everything and i'm more confused than when i started. just pick for me",,2026-09-18T19:42:41.792Z
shan92,tiktok,what's the one thing worth buying if i buy nothing else happy to use your link.,,2026-09-18T15:43:07.246Z
tilda.skin,instagram,We're launching a serum in Q1 and Maya feels like the perfect fit for our UK push. Media kit attached — best email for your manager?,,2026-09-18T12:36:37.118Z
lily.does.makeup,instagram,does the Tint Veil have fragrance in it? everything with fragrance hates me,,2026-09-18T07:00:03.933Z
zainab.does.makeup,tiktok,"hiya darker skin, marks stay for months. i don't even know what my skin type is honestly i know you get a million of these.",,2026-09-18T04:45:15.258Z
anya.skin,instagram,"your account has been flagged for copyright, verify here to avoid deletion",,2026-09-18T03:47:31.629Z
mo_x,instagram,i've got my mum's funeral on thursday and i just want to look like myself,,2026-09-18T00:24:25.817Z
lex_uk,tiktok,"Hello dear, we are a Korean beauty brand seeking UK influencers for long term cooperation. Gifting only at this stage.",,2026-09-17T22:27:56.452Z
yaz_x,instagram,"can you make me a routine but only 2 products, i will not do 8 steps",,2026-09-17T22:18:26.597Z
bea.notes,tiktok,dry and flaky since october. i don't even know what my skin type is honestly,,2026-09-17T22:05:01.754Z
kem.beauty,tiktok,hey!! redness on my cheeks that never really goes. my skin goes red and cross with almost everything. is the Red Reset gentle enough,,2026-09-17T20:32:54.223Z
jenldn,tiktok,the Cloud Cream or the Night Serum? i want your answer not a list been following since the £50 video.,,2026-09-17T09:54:36.089Z
bea.notes,tiktok,i do not want options i want one thing. what is it,,2026-09-17T09:41:13.641Z
zainab.03,tiktok,i have 5 mins. give me the two things that matter,,2026-09-17T06:51:24.062Z
