User Name,DM Text,Platform,Sent At
noor.fitz,"my skin is so dry it hurts to smile in the morning. what am i missing",Instagram,2026-10-02
bexlawson,"is the Night Serum worth £42 or is that a lot for a serum",Instagram,2026-10-02
tobi.a,"Cloud Cream or Daily Gel? i'm oily in summer and dry in winter and i'm sick of buying both",TikTok,2026-10-02
harriet_m,"i have a job interview on monday and my chin has erupted. please",Instagram,2026-10-03
zaraaa.k,"what would you actually buy with £50 if you were starting over",TikTok,2026-10-03
elsbeth,"i already have the Soft Clean. do i need the Clear Wash as well or is that daft",Instagram,2026-10-03
mollyd,"honestly i don't know what my skin is. it's just... fine? but dull",Instagram,2026-10-04
priya.rk,"everything i try makes me red for two days. where does someone like me even start",TikTok,2026-10-04
jonesy.beauty,"i trust your shelf more than any shop assistant i've ever met",Instagram,2026-10-04
kemi.o,"what shade of the Tint Veil am i if i'm deep with warm undertones",TikTok,2026-10-05
saoirse22,"i have 4 minutes in the morning and a toddler. what are the two things",Instagram,2026-10-05
ffion.w,"the Glass Drop is everywhere right now. is it actually worth £62",Instagram,2026-10-05
lorna.bee,"saving for the Cloud Cream, buying it the second i get paid on the 28th",TikTok,2026-10-06
ade.n,"send me the one you'd buy if you had my skin. oily, £30",Instagram,2026-10-06
winnie.p,"my mum died in august and i've stopped looking after myself. i want to start again",Instagram,2026-10-06
cass.hollis,"is Red Reset ok if i'm already on something from the doctor for rosacea",TikTok,2026-10-07
dee_makes,"which of these did you actually buy and which did a brand send you",Instagram,2026-10-07
nat.byrne,"i've got £20 and i'm 16. what do i get",TikTok,2026-10-07
GLOWLAB PR,"Hi Maya! We'd love to gift you our new peptide range for 3 reels this month 💕 who handles your partnerships?",Instagram,2026-10-08
followfast_pro,"🔥 10K REAL FOLLOWERS IN 7 DAYS ✅ no password needed ✅ dm GROW",Instagram,2026-10-08
rubyxo,"i bought the Oil Balm because of you and it's way too heavy. did i do something wrong",TikTok,2026-10-08
iona.s,"wedding in three weeks. i don't want to look like a different person, just better",Instagram,2026-10-09
thea.mcg,"do i put the SPF on before or after moisturiser, i've been arguing with my sister",TikTok,2026-10-09
bel.and.co,"why is everything £60 now. is there anything on your shelf under £25 that's actually good",Instagram,2026-10-09
marnie.j,"screenshotted your whole shelf. working through it one payday at a time",TikTok,2026-10-10
hux.ley,"not a skincare question but would you spend £200 on a coat you'd wear twice",Instagram,2026-10-10
sanaa.rw,"my forehead is oily by 11am but my cheeks flake. which one do i treat",TikTok,2026-10-10
orla.f,"you told me not to buy the £62 one last year and i still think about it. thank you",Instagram,2026-10-11
